reservation_id,checkin,checkout,adults,children,infants,price,user_id,username,email
0,2020-1-7,2020-1-25,1,1,1,1824,0,Thora62,Karolann.Metz@yahoo.com
1,2020-2-4,2020-2-20,1,2,1,1714,0,Celestino_Bayer,Constantin_Effertz@yahoo.com
2,2020-3-4,2020-3-25,3,0,2,1940,0,Roman36,Ona.Kunze@gmail.com
3,2020-4-10,2020-4-22,1,0,3,1008,0,Stefanie34,Ray_Nitzsche57@yahoo.com
4,2020-5-2,2020-5-18,4,2,0,1345,0,Virginia.Bogan34,Else8@yahoo.com
0,2020-1-5,2020-1-20,1,2,1,1967,1,Marjorie_Lowe47,Dylan.Turner@yahoo.com
1,2020-2-12,2020-2-27,1,0,1,226,1,Rowan_OKeefe,Giovani.Turner@gmail.com
2,2020-3-9,2020-3-21,4,0,0,1921,1,Sigrid.Jacobson33,Wendy87@hotmail.com
3,2020-4-2,2020-4-24,4,2,3,1332,1,Destin_Schimmel0,Titus_Price@hotmail.com
4,2020-5-1,2020-5-19,4,1,3,478,1,Gussie_Roob,Sigurd_Williamson86@yahoo.com
5,2020-6-11,2020-6-26,4,0,1,1315,1,Alverta.Langosh12,Chauncey2@hotmail.com
6,2020-7-6,2020-7-21,2,4,1,560,1,Cletus_Erdman70,Johann_Steuber2@hotmail.com
0,2020-1-5,2020-1-17,1,0,2,219,2,Gunner_Jones67,Thora_Conroy90@yahoo.com
1,2020-2-9,2020-2-16,4,1,3,257,2,Luz_Rau44,Cameron15@hotmail.com
2,2020-3-7,2020-3-15,3,4,1,203,2,Brittany.Morar16,Nolan.Kertzmann10@hotmail.com
3,2020-4-9,2020-4-19,2,4,3,1474,2,Vergie_Hessel,Nyasia_Eichmann@gmail.com
4,2020-5-11,2020-5-23,3,1,0,939,2,Itzel_Cummings,Nathanael_Stamm63@hotmail.com
5,2020-6-7,2020-6-26,4,0,0,1489,2,Madison.Beer,Kailyn.Jacobs@gmail.com
6,2020-7-9,2020-7-19,4,0,0,1256,2,Erin76,Karen28@hotmail.com
7,2020-8-6,2020-8-23,4,4,3,590,2,Kendra_Turner54,William_Feest@hotmail.com
0,2020-1-3,2020-1-15,1,0,2,1648,3,Charity_Feeney30,Santa_Dooley75@gmail.com
